module,type,name,res_id,src,value
account,view,account.entries.report,account.view_account_entries_report_tree,# of Entries,عد القيود
account,field,"account.invoice.report,nbr",0,# of Invoices,عدد الفواتير
account,field,"account.entries.report,nbr",0,# of Items,عدد العناصر
account,view,account.entries.report,account.view_account_entries_report_tree,# of Products Qty,عدد كمية المنتجات
account,field,"account.move.line.reconcile,trans_nbr",0,# of Transaction,عدد المعاملات
account,model,"email.template,subject",account.email_template_edi_invoice,${object.company_id.name|safe} Invoice (Ref ${object.number or 'n/a'}),${object.company_id.name|safe} الفاتورة (مرجع ${object.number or 'n/a'})
account,code,addons/account/account.py,1872,%s (Copy),%s (نسخة)
account,code,addons/account/account.py,643,%s (copy),%s (نسخة)
account,code,addons/account/account.py,794,%s (copy),%s (نسخة)
account,code,addons/account/account.py,795,%s (copy),%s (نسخة)
account,view,website,account.report_partnerledger,&nbsp;,&nbsp;
account,view,website,account.report_partnerbalance,(Account/Partner) Name,اسم (الحساب/الشريك)
account,view,account.chart,account.view_account_chart,"(If you do not select a specific fiscal year, all open fiscal years will be selected.)",(إذا لم تختر سنة مالية معينة فإن كل السنوات المالية المفتوحة سيتم اختيارها.)
account,view,account.tax.chart,account.view_account_tax_chart,"(If you do not select a specific period, all open periods will be selected)",(إذا لم تختر فترة معينة فإن كل الفترات المفتوحة سيتم إختيارها)
account,view,account.state.open,account.view_account_state_open,(Invoice should be unreconciled if you want to open it),(يجب الغاء تسوية الفاتورة لفتحها)
account,view,account.analytic.chart,account.account_analytic_chart_view,(Keep empty to open the current situation),(ابقها فارغة لفتح الحالة الجارية)
account,view,project.account.analytic.line,account.view_project_account_analytic_line_form,(Keep empty to open the current situation),(ابقها فارغة لفتح الحالة الجارية)
account,view,account.invoice,account.invoice_form,(change),(تغيير)
account,view,account.bank.statement,account.view_bank_statement_form,(update),(تحديث)
account,view,account.invoice,account.invoice_form,(update),(تحديث)
account,view,account.invoice,account.invoice_supplier_form,(update),(تحديث)
account,view,account.bank.statement,account.view_bank_statement_form2,+ Transactions,+ المعاملات
account,model,"account.payment.term,name",account.account_payment_term_15days,15 Days,15 يوم
account,model,"account.payment.term,note",account.account_payment_term_15days,15 Days,دفع كامل المبلغ المستحق بعد 15 يوم من تأريخ الشراء
account,selection,"account.config.settings,period",0,3 Monthly,ربع سنوي
account,selection,"account.installer,period",0,3 Monthly,ربع سنوي
account,model,"account.payment.term,name",account.account_payment_term_net,30 Net Days,صافي ٣٠ يوم
account,model,"account.payment.term,note",account.account_payment_term_net,30 Net Days,صافي ٣٠ يوم
account,view,website,account.report_generalledger,: General ledger,الأستاذ العام
account,view,website,account.report_trialbalance,: Trial Balance,ميزان المراجعة
account,model,"ir.actions.act_window,help",account.action_account_period,"<p class=""oe_view_nocontent_create"">
                Click to add a fiscal period.
              </p><p>
                An accounting period typically is a month or a quarter. It
                usually corresponds to the periods of the tax declaration.
              </p>
            ","<p class=""oe_view_nocontent_create"">
انقر لإضافة الفترة المالية.
</p><p>
تكون الفترة المحاسبية عموماً شهر أو ربع سنة.
تطابق فترة التصريح الضريبي
</p>
            "
account,model,"ir.actions.act_window,help",account.action_account_journal_form,"<p class=""oe_view_nocontent_create"">
                Click to add a journal.
              </p><p>
                A journal is used to record transactions of all accounting data
                related to the day-to-day business.
              </p><p>
                A typical company may use one journal per payment method (cash,
                bank accounts, checks), one purchase journal, one sale journal
                and one for miscellaneous information.
              </p>
            ","<p class=""oe_view_nocontent_create"">
أنقر لإضافة قيد يومية . 
</p><p>
تُستخدم اليومية فى تسجيل مُعاملات جميع البيانات المحاسبية 
المُتعلقة بأعمال يوم بعد يوم.
</p><p>
الشركة النموذجية قد تستخدم مجلة واحدة لكل طريقة الدفع (نقدا 
والحسابات المصرفية والشيكات)، واحد ليوميات المشتريات , و واحد ليوميات المبيعات , 
و واحد للحصول على معلومات متنوعه .
</p>
            "
account,model,"ir.actions.act_window,help",account.action_account_form,"<p class=""oe_view_nocontent_create"">
                Click to add an account.
              </p><p>
                An account is part of a ledger allowing your company
                to register all kinds of debit and credit transactions.
                Companies present their annual accounts in two main parts: the
                balance sheet and the income statement (profit and loss
                account). The annual accounts of a company are required by law
                to disclose a certain amount of information.
              </p>
            ","<p class=""oe_view_nocontent_create"">
أضغط لإضافة حساب
</p><p>
الحساب جزء من دفتر الأستاذ يسمح لشركتك 
بتسجيل جميع أنواع المعاملات الدائنة و المدينة .
تقوم الشركات بتقديم الحسابات السنوية في جزئين رئيسيين: الميزانية العمومية وقائمة الدخل (حساب الأرباح والخسائر).
الحسابات السنوية للشركة تُطلب من خلال القانون 
للكشف عن كمية معينة من المعلومات.
</p>
            "
account,model,"ir.actions.act_window,help",account.action_account_gain_loss,"<p class=""oe_view_nocontent_create"">
                Click to add an account.
              </p><p>
                When doing multi-currency transactions, you may loose or gain
                some amount due to changes of exchange rate. This menu gives
                you a forecast of the Gain or Loss you'd realized if those
                transactions were ended today. Only for accounts having a
                secondary currency set.
              </p>
            ","<p class=""oe_view_nocontent_create"">
أضغط لإضافة حساب
</p><p>
عند القيام بمعاملات متعددة العملات، قد تفقد أو تكتسب
جزء من المبلغ بسبب التغيرات فى سعر الصرف و لهذا تعطى هذه القائمة
لتوقعاتك بالمكسب أو الخسارة سوف تتمكن من إدراكها إذا ما انتهت 
المعاملات فى نهاية اليوم .فى الحسابات فقط تحتاج 
لوضع عملة ثانوية .
</p>
            "
account,model,"ir.actions.act_window,help",account.action_invoice_tree1,"<p class=""oe_view_nocontent_create"">
                Click to create a customer invoice.
              </p><p>
                Odoo's electronic invoicing allows to ease and fasten the
                collection of customer payments. Your customer receives the
                invoice by email and he can pay online and/or import it
                in his own system.
              </p><p>
                The discussions with your customer are automatically displayed at
                the bottom of each invoice.
              </p>
            ","<p class=""oe_view_nocontent_create"">
                 انقر لإنشاء فاتورة العميل.
              </p><p>
                الفواتير الالكترونية للنظام تسمح بتسهيل وتسريع
                جمع مدفوعات العملاء. 
يمكن ان يستلم عميلك الفاتورة بواسطة البريد الالكتروني ويمكنه الدفع على الانترنت و/أو استيراد الفاتورة على نظامه.
              </p><p>
                يتم عرض المناقشات مع العملاء تلقائيا في
                 الجزء السفلي من كل فاتورة.
              </p>"
account,model,"ir.actions.act_window,help",account.action_invoice_tree3,"<p class=""oe_view_nocontent_create"">
                Click to create a customer refund.
              </p><p>
                A refund is a document that credits an invoice completely or
                partially.
              </p><p>
                Instead of manually creating a customer refund, you
                can generate it directly from the related customer invoice.
              </p>
            ","<p class=""oe_view_nocontent_create"">
                أنقر لإنشاء مرتجع للعميل.
              </p><p>
                المرتجع هو وثيقة بالدين يمكن فوترتها كلياً أو جزئياً.
              </p><p>
                بدلاً من إنشاء مرتجع للعميل يدوياً يمكنك توليدها مباشرةً من فاتورة العميل ذات الصلة.
              </p>
            "
account,model,"ir.actions.act_window,help",account.action_move_journal_line,"<p class=""oe_view_nocontent_create"">
                Click to create a journal entry.
              </p><p>
                A journal entry consists of several journal items, each of
                which is either a debit or a credit transaction.
              </p><p>
                Odoo automatically creates one journal entry per accounting
                document: invoice, refund, supplier payment, bank statements,
                etc. So, you should record journal entries manually only/mainly
                for miscellaneous operations.
              </p>
            ","<p class=""oe_view_nocontent_create"">
                أنقر لإنشاء قيد يومية.
</p><p>
                قيد اليومية يتألف من عدة عناصر يومية كل منها اما معاملة دائنة أو مدينة.
              </p><p>
                النظام ينشئ تلقائيا قيد يومية واحد لكل وثيقة محاسبية :
                كالفواتير والمرتجعات وتسديدات الموّرد والكشوفات المصرفية ... الخ,
                لذا عليك تسجيل قيود اليومية يدوياً اساساً للعمليات المتفرقة أو فقط لتلك العمليات.
              </p>"
account,model,"ir.actions.act_window,help",account.action_view_bank_statement_tree,"<p class=""oe_view_nocontent_create"">
                Click to create a new cash log.
              </p><p>
                A Cash Register allows you to manage cash entries in your cash
                journals. This feature provides an easy way to follow up cash
                payments on a daily basis. You can enter the coins that are in
                your cash box, and then post entries when money comes in or
                goes out of the cash box.
              </p>
            ","<p class=""oe_view_nocontent_create"">
أضغط لعمل سجل نقدية جديد
</p><p>
سجلات النقدية تسمح لك بإدارة المدخلات النقدية فى يومية النقدية الخاصة بك .
توفر هذه الميزة وسيلة سهلة لمتابعة  المدفوعات النقدية على أساس يومى .
يمكنك إدخال القطعة النقدية الموجودة فى
 صندوق النقدية الخاص بك , وبعدها تقوم بعمل قيود اليومية عند دخول النقدية او 
خروجها من صندوق النقدية .
</p>
            "
account,model,"ir.actions.act_window,help",account.action_account_statement_operation_template,"<p class=""oe_view_nocontent_create"">
                Click to create a statement operation template.
              </p><p>
                Those can be used to quickly create a move line when reconciling
                your bank statements.
              </p>
            ","<p class=""oe_view_nocontent_create"">
                Click to create a statement operation template.
              </p><p>
                Those can be used to quickly create a move line when reconciling
                your bank statements.
              </p>
            "
account,model,"ir.actions.act_window,help",account.action_account_type_form,"<p class=""oe_view_nocontent_create"">
                Click to define a new account type.
              </p><p>
                An account type is used to determine how an account is used in
                each journal. The deferral method of an account type determines
                the process for the annual closing. Reports such as the Balance
                Sheet and the Profit and Loss report use the category
                (profit/loss or balance sheet).
              </p>
            ","<p class=""oe_view_nocontent_create"">
أنقر لتحديد نوع حساب جديد 
</p><p>
يتم استخدام نوع الحساب لتحديد كيفية استخدام الحساب في 
كل يومية . طريقة الترحيل فى نوع الحساب تحدد 
عملية الأقفال السنوى. تقارير مثل الميزانية 
العمومية و الأرباح و الخسائر تستخدم تصنيف ( أرباح / خسائر أو الميزانية العمومية)
</p>
            "
account,model,"ir.actions.act_window,help",account.action_subscription_form,"<p class=""oe_view_nocontent_create"">
                Click to define a new recurring entry.
              </p><p>
                A recurring entry occurs on a recurrent basis from a specific
                date, i.e. corresponding to the signature of a contract or an
                agreement with a customer or a supplier. You can create such
                entries to automate the postings in the system.
              </p>
            ","<p class=""oe_view_nocontent_create"">
أنقر لتعريف قيد تكراري جديد
</p><p>القيد المتكرر يظهر على قواعد متكررة من تأريخ محدد ، 
	هذا يعني وفقاً لتوقيع عقد أو اتفاقية مع عميل او مورد 
	فإن بإمكانك انشاء مثل هكذا قيود ترحل تلقائيا في النظام 
</p>
            "
account,model,"ir.actions.act_window,help",account.action_tax_code_list,"<p class=""oe_view_nocontent_create"">
                Click to define a new tax code.
              </p><p>
                Depending on the country, a tax code is usually a cell to fill
                in your legal tax statement. Odoo allows you to define the
                tax structure and each tax computation will be registered in
                one or several tax code.
              </p>
            ","<p class=""oe_view_nocontent_create"">
                Click to define a new tax code.
              </p><p>
                Depending on the country, a tax code is usually a cell to fill
                in your legal tax statement. Odoo allows you to define the
                tax structure and each tax computation will be registered in
                one or several tax code.
              </p>
            "
account,model,"ir.actions.act_window,help",account.action_invoice_tree2,"<p class=""oe_view_nocontent_create"">
                Click to record a new supplier invoice.
              </p><p>
                You can control the invoice from your supplier according to
                what you purchased or received. Odoo can also generate
                draft invoices automatically from purchase orders or receipts.
              </p>
            ","<p class=""oe_view_nocontent_create"">
                أنقر لتسجيل فاتورة موّرد جديدة.
              </p><p>
                يمكنك التحكم بالفوترة  وفقاً لما إشتريته أو استلمته من المورد الخاص بك.
النظام يستطيع كذلك توليد مسودة فواتير تلقائياً من طلبات الشراء أو الإيصالات
              </p>"
account,model,"ir.actions.act_window,help",account.action_bank_statement_tree,"<p class=""oe_view_nocontent_create"">
                Click to register a bank statement.
              </p><p>
                A bank statement is a summary of all financial transactions
                occurring over a given period of time on a bank account. You
                should receive this periodicaly from your bank.
              </p><p>
                Odoo allows you to reconcile a statement line directly with
                the related sale or puchase invoices.
              </p>
            ","<p class=""oe_view_nocontent_create"">
                Click to register a bank statement.
              </p><p>
                A bank statement is a summary of all financial transactions
                occurring over a given period of time on a bank account. You
                should receive this periodicaly from your bank.
              </p><p>
                Odoo allows you to reconcile a statement line directly with
                the related sale or puchase invoices.
              </p>
            "
account,model,"ir.actions.act_window,help",account.action_invoice_tree4,"<p class=""oe_view_nocontent_create"">
                Click to register a refund you received from a supplier.
              </p><p>
                Instead of creating the supplier refund manually, you can generate
                refunds and reconcile them directly from the related supplier invoice.
              </p>
            ","<p class=""oe_view_nocontent_create"">
أنقر لتسجيل المبلغ المرتجع الذى تلقيته من الموّرد .
</p><p>
بدلا من إنشاء المبالغ المرتجعة يدوياً من الموّرد ، يمكنك توليد 
المبالغ المرتجعة ، وتسويتها مباشرة من فاتورة المورد ذات الصلة .
</p>
            "
account,model,"ir.actions.act_window,help",account.action_account_fiscalyear,"<p class=""oe_view_nocontent_create"">
                Click to start a new fiscal year.
              </p><p>
                Define your company's financial year according to your needs. A
                financial year is a period at the end of which a company's
                accounts are made up (usually 12 months). The financial year is
                usually referred to by the date in which it ends. For example,
                if a company's financial year ends November 30, 2011, then
                everything between December 1, 2010 and November 30, 2011
                would be referred to as FY 2011.
              </p>
            ","<p class=""oe_view_nocontent_create"">
أضغط لبدء سنه مالية جديدة
</p><p>
عرف السنه المالية لشركتك وفقاً لإحتياجاتك .
السنه المالية هى عبارة عن فترة فى النهاية حيث يتم عمل حسابات
 الشركة ( و تكون عادتاً 12 شهر) . 
ويشار عادة للسنة المالية في الموعد الذي تنتهي عنده . على سبيل المثال، 
إذا كانت السنة المالية للشركة تنتهي 30 نوفمبر 2011، فإن 
كل شيء بين 1 ديسمبر 2010 و 30 نوفمبر 2011 ستشير  إلى السنة المالية عام 2011
</p>
            "
account,model,"ir.actions.act_window,help",account.action_account_moves_all_a,"<p class=""oe_view_nocontent_create"">
                Select the period and the journal you want to fill.
              </p><p>
                This view can be used by accountants in order to quickly record
                entries in Odoo. If you want to record a supplier invoice,
                start by recording the line of the expense account. Odoo
                will propose to you automatically the Tax related to this
                account and the counterpart ""Account Payable"".
              </p>
            ","<p class=""oe_view_nocontent_create"">
               إختر الفترة واليومية التي تريد ملئها.
              </p><p>
                هذا العرض يستخدم من قبل المحاسبين لكي يتم تسجيل القيود بسرعة
                 في النظام. إذا كنت تريد تسجيل فاتورة موّرد أبدء بتسجيل سطر حساب المصاريف.
                سيقترح عليك النظام تلقائياً الضريبة المتعلقة بهذا الحساب والحساب المثيل ""حساب المدفوعات"".
              </p>"
account,model,"ir.actions.act_window,help",account.action_bank_tree,"<p class=""oe_view_nocontent_create"">
            Click to setup a new bank account. 
          </p><p>
            Configure your company's bank account and select those that must
            appear on the report footer.
          </p><p>
            If you use the accounting application of Odoo, journals and
            accounts will be created automatically based on these data.
          </p>
        ","<p class=""oe_view_nocontent_create"">
            Click to setup a new bank account. 
          </p><p>
            Configure your company's bank account and select those that must
            appear on the report footer.
          </p><p>
            If you use the accounting application of Odoo, journals and
            accounts will be created automatically based on these data.
          </p>
        "
account,model,"ir.actions.act_window,help",account.action_account_manual_reconcile,"<p>
                    No journal items found.
                </p>
            ","<p>
                    لا توجد عناصر دفتر اليومية
                </p>
            "
account,model,"ir.actions.act_window,help",account.action_account_analytic_account_tree2,"<p>
                Click to add a new analytic account.
              </p><p>
                The normal chart of accounts has a structure defined by the
                legal requirement of the country. The analytic chart of
                accounts structure should reflect your own business needs in
                term of costs/revenues reporting.
              </p><p>
                They are usually structured by contracts, projects, products or
                departements. Most of the Odoo operations (invoices,
                timesheets, expenses, etc) generate analytic entries on the
                related account.
              </p>
            ","<p>
                Click to add a new analytic account.
              </p><p>
                The normal chart of accounts has a structure defined by the
                legal requirement of the country. The analytic chart of
                accounts structure should reflect your own business needs in
                term of costs/revenues reporting.
              </p><p>
                They are usually structured by contracts, projects, products or
                departements. Most of the Odoo operations (invoices,
                timesheets, expenses, etc) generate analytic entries on the
                related account.
              </p>
            "
account,view,account.bank.statement,account.view_bank_statement_form2,= Theoretical Closing Balance,= رصيد إغلاق متوقع
account,model,"ir.model,name",account.model_temp_range,A Temporary table used for Dashboard view,جدول مؤقت يستخدم لعرض لوحة المراقبة
account,model,"ir.actions.act_window,help",account.action_account_period_tree,"A period is a fiscal period of time during which accounting entries should be recorded for accounting related activities. Monthly period is the norm but depending on your countries or company needs, you could also have quarterly periods. Closing a period will make it impossible to record new accounting entries, all new entries should then be made on the following open period. Close a period when you do not want to record new entries and want to lock this period for tax related calculation.",والفترة هي الفترة المالية من الوقت خلال السنة المالية التي يجب أن تسجل القيود المحاسبية للمحاسبة الأنشطة ذات الصلة. الفترة الشهرية هي القاعدة ولكن اعتمادا على بلدانكم أو احتياجات الشركة، يجب أيضا ان يكون هناك فترات ربع سنوية. إغلاق فترة سيجعل من المستحيل تسجيل القيود المحاسبية الجديدة ينبغي،  كل القيود الجديدة تتم في الفترة التالية المفتوحة. إغلاق الفترة عندما لا تريد تسجيل قيود جديدة ونريد ان قفل هذه الفترة لحساب الضريبية ذات الصلة.
account,code,addons/account/account_bank_statement.py,802,A selected move line was already reconciled.,A selected move line was already reconciled.
account,sql_constraint,account.fiscal.position.tax,0,A tax fiscal position could be defined only once time on same taxes.,A tax fiscal position could be defined only once time on same taxes.
account,view,website,account.report_centraljournal,A/C No.,رقم C/A
account,view,account.entries.report,account.view_account_entries_report_search,Acc.Type,نوع الحساب
account,view,account.account,account.view_account_form,Account,الحساب
account,view,account.account,account.view_account_search,Account,الحساب
account,field,"account.automatic.reconcile,writeoff_acc_id",0,Account,الحساب
account,field,"account.bank.statement.line,account_id",0,Account,حساب
account,field,"account.entries.report,account_id",0,Account,الحساب
account,field,"account.invoice,account_id",0,Account,حساب
account,field,"account.invoice.line,account_id",0,Account,الحساب
account,field,"account.invoice.report,account_id",0,Account,الحساب
account,field,"account.journal,account_control_ids",0,Account,حساب
account,field,"account.model.line,account_id",0,Account,الحساب
account,view,account.move.line,account.view_account_move_line_filter,Account,الحساب
account,field,"account.move.line,account_id",0,Account,الحساب
account,field,"account.move.line.reconcile.select,account_id",0,Account,الحساب
account,field,"account.move.line.unreconcile.select,account_id",0,Account,حساب
account,field,"account.statement.operation.template,account_id",0,Account,حساب
account,code,addons/account/static/src/js/account_widgets.js,59,Account,حساب
account,code,addons/account/static/src/js/account_widgets.js,65,Account,حساب
account,code,addons/account/static/src/xml/account_bank_statement_reconciliation.xml,139,Account,حساب
account,code,addons/account/static/src/xml/account_bank_statement_reconciliation.xml,162,Account,حساب
account,view,analytic.entries.report,account.view_analytic_entries_report_search,Account,الحساب
account,field,"analytic.entries.report,account_id",0,Account,حساب
account,model,"ir.model,name",account.model_account_account,Account,حساب
account,field,"report.account.sales,account_id",0,Account,الحساب
account,view,website,account.report_journal,Account,حساب
account,view,website,account.report_partnerledger,Account,حساب
account,view,website,account.report_partnerledgerother,Account,حساب
account,view,website,account.report_salepurchasejournal,Account,حساب
account,view,website,account.report_trialbalance,Account,حساب
account,model,"ir.model,name",account.model_account_aged_trial_balance,Account Aged Trial balance Report,ميزان المراجعة للحسابات المعمرة
account,model,"ir.model,name",account.model_account_analytic_balance,Account Analytic Balance,رصيد الحساب التحليلي
account,model,"ir.model,name",account.model_account_analytic_chart,Account Analytic Chart,حساب مخطط تحليلي
account,model,"ir.model,name",account.model_account_analytic_cost_ledger,Account Analytic Cost Ledger,حساب تحليل تكاليف الأستاذ
account,model,"ir.model,name",account.model_account_analytic_cost_ledger_journal_report,Account Analytic Cost Ledger For Journal Report,يقدردفتر حساب للتكلفة التحليلية للحساب للتقرير اليومي
account,model,"ir.model,name",account.model_account_analytic_inverted_balance,Account Analytic Inverted Balance,رصيد للحساب التحليلي المعكوس
account,model,"ir.model,name",account.model_account_analytic_journal_report,Account Analytic Journal,يومية حساب تحليلي
account,model,"ir.actions.act_window,name",account.action_account_automatic_reconcile,Account Automatic Reconcile,تسوية الحساب تلقائياً
account,field,"account.tax,base_code_id",0,Account Base Code,رمز حساب الأساس
account,model,"ir.actions.act_window,name",account.action_account_central_journal,Account Central Journal,حساب دفتر اليومية المركزي
account,model,"ir.model,name",account.model_account_central_journal,Account Central Journal,حساب دفتر اليومية المركزي
account,view,account.account,account.view_account_form,Account Code and Name,رمز واسم الحساب
account,model,"ir.model,name",account.model_account_common_account_report,Account Common Account Report,تقرير الحساب/الحساب المشترك
account,model,"ir.model,name",account.model_account_common_journal_report,Account Common Journal Report,تقرير حساب اليومية المشترك
account,model,"ir.model,name",account.model_account_common_partner_report,Account Common Partner Report,تقرير الحساب المشترك للشريك
account,model,"ir.model,name",account.model_account_common_report,Account Common Report,تقرير مشترك للحساب
account,field,"account.analytic.line,currency_id",0,Account Currency,العملة للحساب
account,field,"account.fiscal.position.account,account_dest_id",0,Account Destination,وجهة الحساب
account,field,"account.fiscal.position.account.template,account_dest_id",0,Account Destination,وجهة الحساب
account,view,account.move,account.view_move_form,Account Entry,قيد الحساب
account,model,"ir.model,name",account.model_account_move,Account Entry,قيد الحساب
account,model,"ir.actions.act_window,name",account.action_account_general_journal,Account General Journal,حساب اليومية العامة
account,model,"ir.model,name",account.model_account_general_journal,Account General Journal,حساب اليومية العامة
account,view,account.journal,account.view_account_journal_form,Account Journal,حساب اليومية
account,view,account.journal,account.view_account_journal_tree,Account Journal,حساب اليومية
account,field,"res.partner.bank,journal_id",0,Account Journal,حساب اليومية
